system,utt_id,speaker_id,age_band,wer,cer
mms-1b-all,5348024557538540_chunk_1_enhanced,S4257128200304373,control,0.5789473684210527,0.11956521739130435
mms-1b-all,5348024557538811_chunk_1_enhanced,S4259671000340700,control,0.37037037037037035,0.15254237288135594
mms-1b-all,5348024557538827_chunk_3_enhanced,S4259671000340700,control,0.39285714285714285,0.08633093525179857
mms-1b-all,5348024557538835_chunk_1_enhanced,S4259671000340700,control,0.0,0.0
mms-1b-all,5348024557538848_chunk_1_enhanced,S4259671000340700,control,0.48,0.1743119266055046
mms-1b-all,5348024557538851_chunk_10_enhanced,S4259671000340700,control,0.3125,0.12408759124087591
mms-1b-all,5348024557538851_chunk_11_enhanced,S4259671000340700,control,0.5652173913043478,0.24299065420560748
mms-1b-all,5348024557538851_chunk_13_enhanced,S4259671000340700,control,1.0,0.71875
mms-1b-all,5348024557538851_chunk_1_enhanced,S4259671000340700,control,0.3,0.2
mms-1b-all,5348024557538851_chunk_5_enhanced,S4259671000340700,control,0.45454545454545453,0.25252525252525254
mms-1b-all,5348024557538853_chunk_7_enhanced,S4259671000340700,control,0.38461538461538464,0.20600858369098712
mms-1b-all,5348024557538854_chunk_3_enhanced,S4259671000340700,control,0.5862068965517241,0.22580645161290322
mms-1b-all,5348024557538854_chunk_6_enhanced,S4259671000340700,control,0.44,0.20168067226890757
mms-1b-all,5348024557538855_chunk_18_enhanced,S4259671000340700,control,0.7368421052631579,0.3279569892473118
mms-1b-all,5348024557538855_chunk_4_enhanced,S4259671000340700,control,0.46511627906976744,0.2185792349726776
mms-1b-all,5348024557538855_chunk_7_enhanced,S4259671000340700,control,0.3225806451612903,0.2014388489208633
mms-1b-all,5348024557538857_chunk_1_enhanced,S4259671000340700,control,0.358974358974359,0.10714285714285714
mms-1b-all,5348024557538858_chunk_2_enhanced,S4259671000340700,control,0.30434782608695654,0.1073170731707317
mms-1b-all,5348024557538858_chunk_9_enhanced,S4259671000340700,control,0.4838709677419355,0.2047244094488189
mms-1b-all,5348024557538892_chunk_2_enhanced,S4258388700342897,control,0.1875,0.0821917808219178
mms-1b-all,5348024557538898_chunk_2_enhanced,S4258388700342897,control,0.0,0.0
mms-1b-all,5348024557538904_chunk_1_enhanced,S4258388700342897,control,0.2727272727272727,0.15254237288135594
mms-1b-all,5348024557538905_chunk_2_enhanced,S4258388700342897,control,0.22413793103448276,0.09961685823754789
mms-1b-all,5348024557538907_chunk_1_enhanced,S4258388700342897,control,0.40540540540540543,0.22641509433962265
mms-1b-all,5348024557538908_chunk_1_enhanced,S4258388700342897,control,0.3333333333333333,0.09375
mms-1b-all,5348024557538914_chunk_1_enhanced,S4258388700342897,control,0.125,0.05194805194805195
mms-1b-all,5348024557538914_chunk_3_enhanced,S4258388700342897,control,0.23684210526315788,0.08571428571428572
mms-1b-all,5348024557539112_chunk_1_enhanced,S4258238900384707,control,0.36363636363636365,0.13725490196078433
mms-1b-all,5348024557539113_chunk_1_enhanced,S4258238900384707,control,0.18181818181818182,0.05660377358490566
mms-1b-all,5348024557539128_chunk_1_enhanced,S4258238900384707,control,0.625,0.4375
mms-1b-all,5348024557539148_chunk_1_enhanced,S4258238900384707,control,0.5,0.14545454545454545
mms-1b-all,5348024557539155_chunk_3_enhanced,S4258238900384707,control,0.04,0.01639344262295082
mms-1b-all,5348024557539157_chunk_3_enhanced,S4258238900384707,control,0.0,0.0
mms-1b-all,5348024557539160_chunk_1_enhanced,S4258238900384707,control,0.17647058823529413,0.04938271604938271
mms-1b-all,5348024557539160_chunk_2_enhanced,S4258238900384707,control,0.20588235294117646,0.07894736842105263
mms-1b-all,5348024557539160_chunk_6_enhanced,S4258238900384707,control,0.15384615384615385,0.04032258064516129
mms-1b-all,5348024557539163_chunk_5_enhanced,S4258238900384707,control,0.08333333333333333,0.016666666666666666
mms-1b-all,5348024557539238_chunk_1_enhanced,S4257208000346467,control,0.09090909090909091,0.020618556701030927
mms-1b-all,5348024557539251_chunk_1_enhanced,S4257208000346467,control,0.25,0.044642857142857144
mms-1b-all,5348024557539255_chunk_1_enhanced,S4257208000346467,control,0.7142857142857143,0.35036496350364965
mms-1b-all,5348024557539267_chunk_1_enhanced,S4257208000346467,control,0.3488372093023256,0.125
mms-1b-all,5348024557539272_chunk_1_enhanced,S4257208000346467,control,0.9,0.2894736842105263
mms-1b-all,5348024557539277_chunk_1_enhanced,S4257208000346467,control,0.16666666666666666,0.029411764705882353
mms-1b-all,5348024557539281_chunk_1_enhanced,S4257208000346467,control,0.17647058823529413,0.036585365853658534
mms-1b-all,5348024557539283_chunk_4_enhanced,S4257208000346467,control,0.35555555555555557,0.15196078431372548
mms-1b-all,5348024557539286_chunk_1_enhanced,S4257208000346467,control,0.2727272727272727,0.10576923076923077
mms-1b-all,5348024557539288_chunk_3_enhanced,S4257208000346467,control,0.3076923076923077,0.13114754098360656
mms-1b-all,5348024557539289_chunk_3_enhanced,S4257208000346467,control,0.41304347826086957,0.1218274111675127
mms-1b-all,5348024557539291_chunk_5_enhanced,S4257208000346467,control,0.29411764705882354,0.05263157894736842
mms-1b-all,5348024557539294_chunk_4_enhanced,S4257208000346467,control,0.52,0.18846153846153846
mms-1b-all,5348024557539294_chunk_5_enhanced,S4257208000346467,control,0.68,0.2962962962962963
mms-1b-all,5348024557539294_chunk_6_enhanced,S4257208000346467,control,0.3902439024390244,0.0881057268722467
mms-1b-all,5348024557539295_chunk_3_enhanced,S4257208000346467,control,0.5172413793103449,0.1875
mms-1b-all,5348024557539295_chunk_6_enhanced,S4257208000346467,control,0.352112676056338,0.13761467889908258
mms-1b-all,5348024557539297_chunk_2_enhanced,S4257208000346467,control,0.20512820512820512,0.06741573033707865
mms-1b-all,5348024557539297_chunk_6_enhanced,S4257208000346467,control,0.25,0.09090909090909091
mms-1b-all,5348024557539476_chunk_1_enhanced,S4259465500359288,control,0.09302325581395349,0.024390243902439025
