system,utt_id,speaker_id,age_band,duration,wer,cer,divergence,substitutions,deletions,insertions,hits,ref_words,hyp_words,speaking_rate
mms-1b-all,5348024557536628_chunk_6_enhanced,S4259147600324769,control,5.785,0.4090909090909091,0.14285714285714285,0.26623376623376627,8,0,1,14,22,23,3.8029386343993083
mms-1b-all,5348024557536628_chunk_7_enhanced,S4259147600324769,control,23.406,0.4146341463414634,0.158311345646438,0.2563228006950254,27,5,2,50,82,79,3.5033752029394174
mms-1b-all,5348024557536995_chunk_1_enhanced,S4259857900387544,control,7.213,0.1875,0.033707865168539325,0.15379213483146068,3,0,0,13,16,16,2.2182171079994455
mms-1b-all,5348024557536998_chunk_1_enhanced,S4259857900387544,control,2.5550208333,0.125,0.034482758620689655,0.09051724137931035,1,0,0,7,8,8,3.1310899291836316
mms-1b-all,5348024557537004_chunk_1_enhanced,S4259857900387544,control,5.171,0.2727272727272727,0.05263157894736842,0.2200956937799043,2,1,0,8,11,10,2.1272481144846256
mms-1b-all,5348024557537050_chunk_2_enhanced,S4259857900387544,control,6.642,0.2857142857142857,0.052083333333333336,0.23363095238095236,5,0,1,16,21,22,3.161698283649503
mms-1b-all,5348024557537051_chunk_1_enhanced,S4259857900387544,control,19.103,0.36538461538461536,0.11646586345381527,0.2489187519308001,14,3,2,35,52,51,2.722085536303198
mms-1b-all,5348024557537051_chunk_2_enhanced,S4259857900387544,control,11.176,0.42424242424242425,0.11377245508982035,0.3104699691526039,14,0,0,19,33,33,2.952755905511811
mms-1b-all,5348024557537278_chunk_1_enhanced,S4258796500385594,control,3.0920208333,0.25,0.14285714285714285,0.10714285714285715,2,0,0,6,8,8,2.5873046888438638
mms-1b-all,5348024557537312_chunk_1_enhanced,S4258796500385594,control,8.2580208333,0.23076923076923078,0.0547945205479452,0.17597471022128558,3,0,0,10,13,13,1.5742270772166425
mms-1b-all,5348024557537323_chunk_1_enhanced,S4258796500385594,control,9.3750208333,0.3076923076923077,0.11403508771929824,0.19365721997300947,5,3,0,18,26,23,2.773327170393926
